Results - based on chains 2 & 3 only as evidence of non-convergence with chain 1
30,000 burn in 70,000 iterations, seed 385916

	 node	 mean	 sd	 MC error	2.5%	median	97.5%	start	sample
	d[2,1]	-0.311	0.1844	0.004642	-0.6676	-0.3111	0.04897	30001	140000
	d[2,2]	0.4693	0.4804	0.01199	-0.4729	0.4675	1.407	30001	140000
	d[3,1]	-0.5475	0.1937	0.004523	-0.9185	-0.5484	-0.1636	30001	140000
	d[3,2]	0.4776	0.4692	0.01083	-0.4519	0.4826	1.396	30001	140000
	d[4,1]	-0.2099	0.2852	0.009549	-0.7669	-0.2145	0.3668	30001	140000
	d[4,2]	-0.1504	0.8008	0.0261	-1.737	-0.1372	1.425	30001	140000
	d[5,1]	-0.1065	0.3068	0.0102	-0.7035	-0.1125	0.5093	30001	140000
	d[5,2]	-1.403	0.8307	0.02741	-3.047	-1.395	0.232	30001	140000
	d[6,1]	0.3244	0.1745	0.005245	-0.01937	0.325	0.6704	30001	140000
	d[6,2]	-1.652	0.4591	0.0135	-2.556	-1.654	-0.742	30001	140000
	d[7,1]	0.1314	0.3596	0.01056	-0.5606	0.128	0.843	30001	140000
	d[7,2]	-2.341	1.066	0.03051	-4.447	-2.335	-0.3042	30001	140000
	d[8,1]	-0.6433	0.2631	0.009915	-1.156	-0.6433	-0.1278	30001	140000
	d[8,2]	0.5474	0.7325	0.02769	-0.8672	0.5426	1.946	30001	140000
	d[9,1]	-1.177	0.2221	0.007309	-1.623	-1.175	-0.7486	30001	140000
	d[9,2]	1.058	0.5876	0.01922	-0.1007	1.053	2.223	30001	140000
	d[10,1]	-1.679	0.2857	0.009683	-2.25	-1.676	-1.127	30001	140000
	d[10,2]	2.031	0.7675	0.02634	0.5669	2.018	3.548	30001	140000
	d[11,1]	-0.7935	0.3104	0.01123	-1.396	-0.7923	-0.181	30001	140000
	d[11,2]	0.04282	0.8586	0.03107	-1.611	0.02824	1.757	30001	140000
	d[12,1]	-1.108	0.6013	0.01853	-2.312	-1.102	0.04557	30001	140000
	d[12,2]	0.6483	1.42	0.04506	-2.081	0.6205	3.438	30001	140000
	d[13,1]	-0.01584	0.7007	0.02056	-1.357	-0.02786	1.387	30001	140000
	d[13,2]	-0.6376	2.068	0.06019	-4.788	-0.5919	3.304	30001	140000

	 node	 mean	 sd	 2.5%	 median	 97.5%	sample
	S[1,1]	0.73	0.3252	0.002713	0.9053	0.9507	210000
	S[1,2]	0.6855	0.3071	0.002685	0.8461	0.9101	210000
	S[1,3]	0.6516	0.2911	0.002685	0.7989	0.8746	210000
	S[1,4]	0.6226	0.2769	0.002684	0.7586	0.8423	210000
	S[1,5]	0.5968	0.2643	0.002683	0.7229	0.8121	210000
	S[1,6]	0.5734	0.253	0.002683	0.6904	0.7847	210000
	S[1,7]	0.5517	0.2426	0.002683	0.6603	0.7592	210000
	S[1,8]	0.5316	0.2332	0.002683	0.6322	0.7346	210000
	S[1,9]	0.5128	0.2247	0.002683	0.6058	0.7123	210000
	S[1,10]	0.4951	0.2169	0.002682	0.5809	0.6916	210000
	S[1,11]	0.4784	0.2098	0.002683	0.5577	0.671	210000
	S[1,12]	0.4626	0.2033	0.002683	0.5355	0.6546	210000
	S[1,13]	0.4476	0.1974	0.002683	0.5145	0.6336	210000
	S[1,14]	0.4333	0.1921	0.002683	0.4945	0.6152	210000
	S[1,15]	0.4197	0.1872	0.001965	0.4756	0.5987	210000
	S[1,16]	0.4068	0.1829	0.002683	0.4574	0.5826	210000
	S[1,17]	0.3945	0.179	0.002682	0.44	0.5659	210000
	S[1,18]	0.3827	0.1755	0.002683	0.4233	0.5506	210000
	S[1,19]	0.3714	0.1724	0.002683	0.4075	0.5368	210000
	S[1,20]	0.3606	0.1696	0.002683	0.3923	0.5233	210000
	S[1,21]	0.3503	0.1672	0.002683	0.378	0.5077	210000
	S[1,22]	0.3404	0.1651	0.002683	0.3643	0.4947	210000
	S[1,23]	0.3309	0.1632	0.002683	0.3512	0.4844	210000
	S[1,24]	0.3218	0.1616	0.002683	0.3386	0.4726	210000
	S[1,25]	0.3131	0.1603	0.002682	0.3264	0.4629	210000
	S[1,26]	0.3047	0.1592	0.002683	0.3146	0.4504	210000
	S[1,27]	0.2967	0.1582	0.002683	0.3033	0.4392	210000
	S[1,28]	0.2889	0.1575	0.002682	0.2928	0.4322	210000
	S[1,29]	0.2815	0.1569	0.002683	0.2825	0.4193	210000
	S[1,30]	0.2744	0.1565	0.002683	0.2726	0.4078	210000
	S[1,31]	0.2675	0.1561	0.002682	0.263	0.4026	210000
	S[1,32]	0.2609	0.1559	0.002682	0.2538	0.39	210000
	S[1,33]	0.2545	0.1558	0.002682	0.2451	0.3835	210000
	S[1,34]	0.2484	0.1558	0.002682	0.2367	0.3792	210000
	S[1,35]	0.2425	0.1559	0.00265	0.2286	0.3691	210000
	S[1,36]	0.2368	0.156	0.002941	0.2207	0.3659	210000
	S[1,37]	0.2314	0.1562	0.002136	0.2132	0.3585	210000
	S[1,38]	0.2261	0.1565	0.002415	0.2061	0.3544	210000
	S[1,39]	0.221	0.1568	0.003154	0.1992	0.3476	210000
	S[1,40]	0.2161	0.1571	0.002646	0.1925	0.3429	210000
	S[1,41]	0.2114	0.1575	0.002165	0.1859	0.3386	210000
	S[1,42]	0.2069	0.1579	0.003237	0.1797	0.3317	210000
	S[1,43]	0.2025	0.1583	0.00269	0.1737	0.3269	210000
	S[1,44]	0.1983	0.1588	0.002014	0.168	0.3207	210000
	S[1,45]	0.1942	0.1592	0.002737	0.1624	0.3147	210000
	S[1,46]	0.1903	0.1597	0.002906	0.157	0.3074	210000
	S[1,47]	0.1865	0.1601	0.002708	0.1517	0.3053	210000
	S[1,48]	0.1828	0.1606	0.002637	0.1466	0.3052	210000
	S[1,49]	0.1793	0.1611	0.00265	0.1418	0.3047	210000
	S[1,50]	0.1759	0.1616	0.002971	0.1372	0.3005	210000
	S[1,51]	0.1726	0.1621	0.00258	0.1326	0.2985	210000
	S[1,52]	0.1694	0.1625	0.002416	0.1283	0.294	210000
	S[1,53]	0.1663	0.163	0.002472	0.1241	0.2856	210000
	S[1,54]	0.1634	0.1635	0.002519	0.12	0.2785	210000
	S[1,55]	0.1605	0.1639	0.002432	0.1161	0.2773	210000
	S[1,56]	0.1577	0.1644	0.002522	0.1122	0.2757	210000
	S[1,57]	0.1551	0.1648	0.002661	0.1085	0.2734	210000
	S[1,58]	0.1525	0.1652	0.002713	0.1049	0.2682	210000
	S[1,59]	0.15	0.1657	0.002597	0.1015	0.2634	210000
	S[1,60]	0.1476	0.1661	0.002726	0.09824	0.2588	210000
	S[1,61]	0.1452	0.1665	0.002762	0.09504	0.2564	210000
	S[1,62]	0.143	0.1669	0.002565	0.09193	0.2548	210000
	S[1,63]	0.1408	0.1672	0.002521	0.08894	0.2523	210000
	S[1,64]	0.1387	0.1676	0.002947	0.08603	0.2534	210000
	S[1,65]	0.1366	0.168	0.002991	0.08323	0.2508	210000
	S[1,66]	0.1347	0.1683	0.002413	0.08054	0.2417	210000
	S[1,67]	0.1328	0.1686	0.002349	0.07789	0.2351	210000
