Results - 30,000 burn in 70,000 iterations, seed 385916
	 node	 mean	 sd	 MC error	2.5%	median	97.5%	start	sample
	d[2,1]	-0.2386	0.1199	0.00156	-0.4749	-0.2386	-0.006271	30001	210000
	d[2,2]	0.5729	0.6197	0.008145	-0.6498	0.5685	1.807	30001	210000
	d[3,1]	-0.4847	0.1334	0.001757	-0.7492	-0.4848	-0.2212	30001	210000
	d[3,2]	0.4775	0.5812	0.00738	-0.6533	0.4753	1.623	30001	210000
	d[4,1]	-0.2146	0.1844	0.003793	-0.5714	-0.2157	0.1509	30001	210000
	d[4,2]	-0.4033	1.094	0.02055	-2.521	-0.422	1.763	30001	210000
	d[5,1]	-0.2625	0.1906	0.003923	-0.6344	-0.2617	0.1138	30001	210000
	d[5,2]	-2.512	1.102	0.02147	-4.683	-2.515	-0.3527	30001	210000
	d[6,1]	0.1115	0.1125	0.001959	-0.1085	0.1113	0.3313	30001	210000
	d[6,2]	-2.664	0.5853	0.008969	-3.815	-2.661	-1.524	30001	210000
	d[7,1]	-0.1646	0.2155	0.003498	-0.5868	-0.1644	0.2562	30001	210000
	d[7,2]	-3.921	1.458	0.02074	-6.867	-3.894	-1.139	30001	210000
	d[8,1]	-0.5799	0.2096	0.005915	-0.9898	-0.582	-0.1614	30001	210000
	d[8,2]	0.7693	1.05	0.02995	-1.322	0.7973	2.778	30001	210000
	d[9,1]	-1.073	0.1657	0.004105	-1.4	-1.073	-0.7516	30001	210000
	d[9,2]	1.58	0.7889	0.01938	0.03334	1.585	3.101	30001	210000
	d[10,1]	-1.427	0.216	0.005444	-1.857	-1.427	-1.0	30001	210000
	d[10,2]	2.758	1.05	0.02707	0.7031	2.763	4.796	30001	210000
	d[11,1]	-0.8436	0.2425	0.006494	-1.319	-0.8441	-0.3589	30001	210000
	d[11,2]	0.2854	1.206	0.03256	-2.113	0.3067	2.588	30001	210000
	d[12,1]	-1.057	0.3884	0.008091	-1.819	-1.058	-0.2835	30001	210000
	d[12,2]	1.007	1.706	0.03841	-2.42	1.024	4.291	30001	210000
	d[13,1]	-0.12	0.3979	0.006139	-0.897	-0.1209	0.6637	30001	210000
	d[13,2]	-0.9611	2.908	0.04326	-6.872	-0.9006	4.61	30001	210000

	 node	 mean	 sd	 2.5%	 median	 97.5%	sample
	S[1,1]	0.9262	0.03181	0.8497	0.9316	0.9724	210000
	S[1,2]	0.8784	0.03896	0.7879	0.8837	0.9391	210000
	S[1,3]	0.8375	0.04157	0.7428	0.8425	0.9047	210000
	S[1,4]	0.8004	0.04243	0.7049	0.8048	0.8706	210000
	S[1,5]	0.766	0.04244	0.6715	0.77	0.8375	210000
	S[1,6]	0.7336	0.042	0.6411	0.7374	0.8055	210000
	S[1,7]	0.7031	0.04131	0.6126	0.7064	0.7746	210000
	S[1,8]	0.6741	0.04051	0.586	0.6771	0.7449	210000
	S[1,9]	0.6465	0.03965	0.561	0.6493	0.7166	210000
	S[1,10]	0.6201	0.03878	0.5373	0.6227	0.6895	210000
	S[1,11]	0.595	0.03793	0.5145	0.5973	0.6634	210000
	S[1,12]	0.5711	0.03712	0.493	0.573	0.6387	210000
	S[1,13]	0.5481	0.03635	0.4723	0.5498	0.615	210000
	S[1,14]	0.5262	0.03563	0.4524	0.5275	0.5924	210000
	S[1,15]	0.5052	0.03496	0.4334	0.5063	0.5707	210000
	S[1,16]	0.4851	0.03433	0.4151	0.4859	0.55	210000
	S[1,17]	0.4658	0.03375	0.3974	0.4664	0.5301	210000
	S[1,18]	0.4473	0.03321	0.3806	0.4478	0.5111	210000
	S[1,19]	0.4296	0.03271	0.3644	0.4299	0.4929	210000
	S[1,20]	0.4127	0.03224	0.3487	0.4129	0.4754	210000
	S[1,21]	0.3964	0.0318	0.3338	0.3965	0.4586	210000
	S[1,22]	0.3808	0.03138	0.3192	0.3808	0.4424	210000
	S[1,23]	0.3658	0.03098	0.3053	0.3657	0.4269	210000
	S[1,24]	0.3514	0.03059	0.2919	0.3512	0.412	210000
	S[1,25]	0.3376	0.03022	0.2792	0.3374	0.3978	210000
	S[1,26]	0.3244	0.02985	0.2668	0.3241	0.3841	210000
	S[1,27]	0.3117	0.0295	0.2551	0.3113	0.3708	210000
	S[1,28]	0.2995	0.02915	0.2438	0.2991	0.358	210000
	S[1,29]	0.2878	0.0288	0.233	0.2874	0.3458	210000
	S[1,30]	0.2766	0.02845	0.2226	0.2761	0.3341	210000
	S[1,31]	0.2658	0.0281	0.2126	0.2653	0.3228	210000
	S[1,32]	0.2555	0.02775	0.2031	0.2549	0.3118	210000
	S[1,33]	0.2455	0.0274	0.194	0.2449	0.3013	210000
	S[1,34]	0.236	0.02705	0.1853	0.2353	0.2912	210000
	S[1,35]	0.2268	0.0267	0.1769	0.2261	0.2815	210000
	S[1,36]	0.218	0.02634	0.1689	0.2173	0.272	210000
	S[1,37]	0.2096	0.02598	0.1613	0.2088	0.2629	210000
	S[1,38]	0.2014	0.02561	0.1539	0.2006	0.2542	210000
	S[1,39]	0.1936	0.02525	0.1468	0.1928	0.2458	210000
	S[1,40]	0.1861	0.02488	0.1402	0.1853	0.2375	210000
	S[1,41]	0.1789	0.02451	0.1337	0.1781	0.2297	210000
	S[1,42]	0.172	0.02413	0.1276	0.1711	0.2221	210000
	S[1,43]	0.1654	0.02375	0.1218	0.1645	0.2148	210000
	S[1,44]	0.159	0.02337	0.1162	0.1581	0.2077	210000
	S[1,45]	0.1529	0.02299	0.1109	0.1519	0.2008	210000
	S[1,46]	0.147	0.02261	0.1057	0.146	0.1943	210000
	S[1,47]	0.1413	0.02223	0.1008	0.1403	0.1878	210000
	S[1,48]	0.1359	0.02185	0.09613	0.1349	0.1816	210000
	S[1,49]	0.1307	0.02146	0.09171	0.1297	0.1756	210000
	S[1,50]	0.1256	0.02108	0.08746	0.1246	0.1699	210000
	S[1,51]	0.1208	0.0207	0.08342	0.1198	0.1643	210000
	S[1,52]	0.1162	0.02031	0.07957	0.1152	0.1589	210000
	S[1,53]	0.1117	0.01993	0.07587	0.1107	0.1537	210000
	S[1,54]	0.1074	0.01955	0.07241	0.1064	0.1487	210000
	S[1,55]	0.1033	0.01918	0.06904	0.1022	0.1438	210000
	S[1,56]	0.09935	0.0188	0.06586	0.09827	0.1391	210000
	S[1,57]	0.09555	0.01843	0.06279	0.09447	0.1346	210000
	S[1,58]	0.09189	0.01806	0.05986	0.09081	0.1303	210000
	S[1,59]	0.08838	0.01769	0.0571	0.08729	0.126	210000
	S[1,60]	0.085	0.01733	0.05446	0.08391	0.122	210000
	S[1,61]	0.08175	0.01697	0.05191	0.08065	0.118	210000
	S[1,62]	0.07863	0.01661	0.04949	0.07753	0.1142	210000
	S[1,63]	0.07563	0.01626	0.04719	0.07452	0.1105	210000
	S[1,64]	0.07275	0.01591	0.04498	0.07165	0.107	210000
	S[1,65]	0.06997	0.01556	0.04287	0.06886	0.1036	210000
	S[1,66]	0.06731	0.01522	0.04086	0.0662	0.1003	210000
	S[1,67]	0.06474	0.01488	0.03896	0.06364	0.097	210000
	S[1,68]	0.06228	0.01455	0.03713	0.06117	0.0939	210000
	S[1,69]	0.05991	0.01422	0.03539	0.0588	0.09088	210000
	S[1,70]	0.05763	0.0139	0.03375	0.05653	0.08795	210000
	S[1,71]	0.05544	0.01358	0.03217	0.05434	0.08513	210000
	S[1,72]	0.05334	0.01327	0.03066	0.05223	0.08239	210000
	S[1,73]	0.05131	0.01296	0.02923	0.05021	0.07973	210000
	S[1,74]	0.04937	0.01266	0.02785	0.04826	0.07718	210000
	S[1,75]	0.04749	0.01236	0.02654	0.04641	0.07472	210000
	S[1,76]	0.04569	0.01207	0.02531	0.04462	0.07231	210000
	S[1,77]	0.04396	0.01178	0.02411	0.04289	0.07	210000
	S[1,78]	0.0423	0.01149	0.02298	0.04124	0.06777	210000
	S[1,79]	0.0407	0.01122	0.0219	0.03964	0.0656	210000
