Results - 30,000 burn in 70,000 iterations, seed 385916

	 node	 mean	 sd	 MC error	2.5%	median	97.5%	start	sample
	d[2,1]	-0.1967	0.09612	9.397E-4	-0.386	-0.1964	-0.007038	30001	210000
	d[2,2]	0.9223	1.467	0.01371	-1.925	0.9098	3.852	30001	210000
	d[3,1]	-0.4617	0.1111	0.001109	-0.6802	-0.4613	-0.2443	30001	210000
	d[3,2]	0.4567	1.24	0.01162	-2.001	0.4542	2.886	30001	210000
	d[4,1]	-0.2238	0.1474	0.002346	-0.513	-0.2236	0.06349	30001	210000
	d[4,2]	-1.921	2.949	0.03604	-7.605	-1.983	4.036	30001	210000
	d[5,1]	-0.3601	0.1464	0.002294	-0.6515	-0.3589	-0.07651	30001	210000
	d[5,2]	-8.633	2.814	0.03759	-14.23	-8.616	-3.201	30001	210000
	d[6,1]	-0.003971	0.09309	0.001291	-0.1878	-0.00354	0.176	30001	210000
	d[6,2]	-8.501	1.657	0.01726	-11.89	-8.45	-5.411	30001	210000
	d[7,1]	-0.3201	0.1686	0.002042	-0.6508	-0.3197	0.00811	30001	210000
	d[7,2]	-14.13	4.556	0.04052	-23.72	-13.9	-5.723	30001	210000
	d[8,1]	-0.5683	0.1712	0.004312	-0.9092	-0.5684	-0.2275	30001	210000
	d[8,2]	1.76	2.181	0.05653	-2.474	1.763	6.069	30001	210000
	d[9,1]	-1.039	0.1353	0.002937	-1.305	-1.038	-0.7752	30001	210000
	d[9,2]	3.866	1.573	0.03337	0.7285	3.882	6.923	30001	210000
	d[10,1]	-1.338	0.1783	0.003987	-1.688	-1.338	-0.9898	30001	210000
	d[10,2]	6.273	2.145	0.04904	2.05	6.251	10.49	30001	210000
	d[11,1]	-0.899	0.1999	0.004754	-1.286	-0.8995	-0.5013	30001	210000
	d[11,2]	1.272	2.552	0.06189	-3.704	1.266	6.279	30001	210000
	d[12,1]	-1.042	0.2937	0.005258	-1.628	-1.038	-0.475	30001	210000
	d[12,2]	2.465	3.278	0.06405	-3.951	2.488	8.886	30001	210000
	d[13,1]	-0.1747	0.2911	0.003018	-0.7478	-0.1761	0.397	30001	210000
	d[13,2]	-3.553	10.42	0.1044	-25.31	-3.128	16.22	30001	210000


	 node	 mean	 sd	 2.5%	 median	 97.5%	sample
	S[1,1]	0.9582	0.04693	0.8302	0.9734	0.997	210000
	S[1,2]	0.9217	0.0522	0.7816	0.9366	0.9742	210000
	S[1,3]	0.8847	0.05288	0.7453	0.8987	0.9425	210000
	S[1,4]	0.8484	0.05205	0.7125	0.8614	0.9082	210000
	S[1,5]	0.8132	0.05064	0.6812	0.8252	0.8738	210000
