Results - 30,000 burn in, 70,000 iterations

	 node	 mean	 sd	 MC error	2.5%	median	97.5%	start	sample
	d[2,1]	0.03884	0.2083	0.004665	-0.3684	0.0385	0.4543	30001	210000
	d[2,2]	-0.07678	0.08116	0.001822	-0.2379	-0.07664	0.08228	30001	210000
	d[3,1]	-0.1532	0.204	0.00406	-0.5536	-0.152	0.2396	30001	210000
	d[3,2]	-0.08127	0.07823	0.001571	-0.2331	-0.08189	0.07232	30001	210000
	d[4,1]	-0.3263	0.344	0.01011	-0.9739	-0.3371	0.3972	30001	210000
	d[4,2]	0.03219	0.1259	0.003767	-0.2263	0.03524	0.274	30001	210000
	d[5,1]	-0.9854	0.3527	0.01028	-1.676	-0.987	-0.2884	30001	210000
	d[5,2]	0.1827	0.1404	0.00408	-0.09645	0.1831	0.4568	30001	210000
	d[6,1]	-0.7344	0.1966	0.005221	-1.117	-0.7332	-0.3447	30001	210000
	d[6,2]	0.2183	0.07415	0.001963	0.07095	0.2183	0.3622	30001	210000
	d[7,1]	-1.33	0.4933	0.01388	-2.309	-1.326	-0.3855	30001	210000
	d[7,2]	0.2972	0.1906	0.00538	-0.06832	0.2949	0.6746	30001	210000
	d[8,1]	-0.2921	0.4012	0.01338	-1.049	-0.3012	0.5294	30001	210000
	d[8,2]	-0.06157	0.1436	0.0048	-0.3534	-0.05907	0.2142	30001	210000
	d[9,1]	-0.5049	0.3011	0.009152	-1.095	-0.5063	0.1088	30001	210000
	d[9,2]	-0.1178	0.1121	0.003454	-0.348	-0.1157	0.09803	30001	210000
	d[10,1]	-0.2875	0.3969	0.01223	-1.047	-0.2998	0.533	30001	210000
	d[10,2]	-0.2716	0.1424	0.004425	-0.564	-0.2678	0.004705	30001	210000
	d[11,1]	-0.8741	0.4606	0.01501	-1.749	-0.8782	0.06072	30001	210000
	d[11,2]	0.05105	0.1641	0.005383	-0.2808	0.05383	0.3678	30001	210000
	d[12,1]	-0.7262	0.6736	0.01852	-2.032	-0.7268	0.5974	30001	210000
	d[12,2]	-0.055	0.3065	0.007982	-0.6649	-0.0551	0.5441	30001	210000
	d[13,1]	-0.4338	0.8217	0.02154	-2.101	-0.4041	1.101	30001	210000
	d[13,2]	0.09127	0.3316	0.008716	-0.5355	0.08194	0.7616	30001	210000

	 node	 mean	 sd	 2.5%	 median	 97.5%	sample
	S[1,1]	0.9175	0.0146	0.886	0.9185	0.9435	210000
	S[1,2]	0.8551	0.022	0.8086	0.8564	0.8951	210000
	S[1,3]	0.8033	0.02644	0.748	0.8045	0.852	210000
	S[1,4]	0.7583	0.02927	0.6976	0.7594	0.8125	210000
	S[1,5]	0.7183	0.0311	0.6546	0.7193	0.7765	210000
	S[1,6]	0.6824	0.03228	0.6168	0.6831	0.7434	210000
	S[1,7]	0.6496	0.03301	0.5831	0.6503	0.7123	210000
	S[1,8]	0.6196	0.03341	0.5524	0.6201	0.6832	210000
	S[1,9]	0.5918	0.0336	0.5245	0.5922	0.656	210000
	S[1,10]	0.566	0.03361	0.4989	0.5664	0.6306	210000
	S[1,11]	0.542	0.03351	0.4753	0.5423	0.6067	210000
	S[1,12]	0.5196	0.03332	0.4534	0.5198	0.5842	210000
	S[1,13]	0.4985	0.03308	0.4331	0.4986	0.5629	210000
	S[1,14]	0.4787	0.03279	0.414	0.4787	0.5428	210000
	S[1,15]	0.4601	0.03247	0.3962	0.46	0.5235	210000
	S[1,16]	0.4425	0.03214	0.3795	0.4424	0.5055	210000
