"","study","treat1","treat2","hr","se","lci","uci","lhr","V"
"1","BREAK-3",1,4,0.824479790935757,0.176048610235844,0.583884795517155,1.16421412388276,-0.193002647973285,NA
"2","BRIM-3",1,6,0.798795675388357,0.0873600937401965,0.673092355786798,0.947974710354981,-0.224650091340514,NA
"3","CheckMate 066",1,9,0.462696071656058,0.124946599911811,0.362193851549432,0.591085833760293,-0.770684873150485,NA
"4","CheckMate 069",8,10,0.753915385954743,0.271026727505066,0.443224988896991,1.28239251715879,-0.282475137490515,NA
"5","COBRIM",6,7,0.686535631229234,0.126628034237574,0.535645059910962,0.879931895620713,-0.376097152383599,NA
"6","COMBI-d",4,5,0.758611643050342,0.125355161414078,0.593358266285766,0.969888948499755,-0.276265301769266,NA
"7","COMBI-v",5,6,1.40401336240938,0.135182494869473,1.07721822605954,1.8299481703303,0.339334822943929,NA
"8","Hodi 2014",8,12,0.669173294506236,0.199469350732545,0.452636926907185,0.989298202292168,-0.40171221726134,NA
"9","Keynote 006",8,11,0.730473336275516,0.0946103066361794,0.606836827097998,0.879299461044926,-0.314062549107082,NA
"10","Ribas 2013",1,2,0.87804044138314,0.0875709803418609,0.73956094001991,1.04244961433948,-0.130062625606944,NA
"11","Robert 2011",1,3,0.729709965268805,0.0976805505649904,0.602565748918373,0.883682211224941,-0.315108131638328,NA
"12","Robert 2013",1,13,0.828413064466895,0.247119554193306,0.510385577318013,1.3446073632912,-0.188243378862111,NA
"13","CheckMate 067",8,9,0.665094300715311,0.102249201575941,0.544312801113512,0.812676879799745,-0.407826442792811,7.08179636381458e-09
"14","CheckMate 067",8,10,0.545234084427327,0.106989140949323,0.44209303756782,0.672438110441179,-0.606540063822381,7.08179636381458e-09
