"","spgrp","treatment","trialid","y","nevents","natrisk","y.max","start","time","treatnumf","studynumf"
"1",1,"DB",1,1056.1817000945,28,187,6,0,6,"DB","1"
"2",1,"DB",7,1177.8237186565,34,211,6,0,6,"DB","7"
"3",1,"DB+TR",7,1205.113696133,16,211,6,0,6,"DB+TR","7"
"4",1,"DB+TR",8,2021.4990439745,27,352,6,0,6,"DB+TR","8"
"5",1,"DTIC",1,344.89351285,9,63,6,0,6,"DTIC","1"
"6",1,"DTIC",2,1571.248307905,106,338,6,0,6,"DTIC","2"
"7",1,"DTIC",3,1077.317693817,56,208,6,0,6,"DTIC","3"
"8",1,"DTIC",11,1741.406644627,84,327,6,0,6,"DTIC","11"
"9",1,"DTIC",12,1266.184108296,90,252,6,0,6,"DTIC","12"
"10",1,"DTIC",13,255.2083245915,10,46,6,0,6,"DTIC","13"
"11",1,"IPI",4,1726.4846564115,57,315,6,0,6,"IPI","4"
"12",1,"IPI",5,253.732487643,10,47,6,0,6,"IPI","5"
"13",1,"IPI",9,620.643600358,37,122,6,0,6,"IPI","9"
"14",1,"IPI",10,1417.028327311,65,278,6,0,6,"IPI","10"
"15",1,"IPI+DTIC",12,1298.176807683,68,250,6,0,6,"IPI+DTIC","12"
"16",1,"IPI+SRG",9,653.144636362,24,123,6,0,6,"IPI+SRG","9"
"17",1,"NIV",3,1136.706543572,32,210,6,0,6,"NIV","3"
"18",1,"NIV",4,1758.113012124,46,316,6,0,6,"NIV","4"
"19",1,"NIV+IPI",4,1757.088292834,47,314,6,0,6,"NIV+IPI","4"
"20",1,"NIV+IPI",5,500.28162653,18,95,6,0,6,"NIV+IPI","5"
"21",1,"PEM",10,3093.48196748,75,556,6,0,6,"PEM","10"
"22",1,"SEL+DTIC",13,252.669348569,6,45,6,0,6,"SEL+DTIC","13"
"23",1,"TRL",11,1748.5205611955,91,328,6,0,6,"TRL","11"
"24",1,"VM",2,1920.0069168545,64,337,6,0,6,"VM","2"
"25",1,"VM",6,1361.857790985,35,248,6,0,6,"VM","6"
"26",1,"VM",8,1950.221797324,44,352,6,0,6,"VM","8"
"27",1,"VM+COB",6,1382.8706025195,20,247,6,0,6,"VM+COB","6"
"28",2,"DB",1,833.233582301,27,154,6,6,12,"DB","1"
"29",2,"DB",7,921.524281979,35,175,6,6,12,"DB","7"
"30",2,"DB+TR",7,982.313875634,38,187,6,6,12,"DB+TR","7"
"31",2,"DB+TR",8,1512.2638623125,60,310,6,6,12,"DB+TR","8"
"32",2,"DTIC",1,244.1367017755,12,49,6,6,12,"DTIC","1"
"33",2,"DTIC",2,1012.04933346,62,202,6,6,12,"DTIC","2"
"34",2,"DTIC",3,714.9798331635,51,146,6,6,12,"DTIC","3"
"35",2,"DTIC",11,1089.8601417545,90,235,6,6,12,"DTIC","11"
"36",2,"DTIC",12,751.765016045,69,161,6,6,12,"DTIC","12"
"37",2,"DTIC",13,168.062983574,14,35,6,6,12,"DTIC","13"
"38",2,"IPI",4,1364.920624325,46,253,6,6,12,"IPI","4"
"39",2,"IPI",5,197.092089011,6,36,6,6,12,"IPI","5"
"40",2,"IPI",9,400.3191753035,17,80,6,6,12,"IPI","9"
"41",2,"IPI",10,991.292724872,41,189,6,6,12,"IPI","10"
"42",2,"IPI+DTIC",12,872.191615072,61,177,6,6,12,"IPI+DTIC","12"
"43",2,"IPI+SRG",9,475.394729976,12,94,6,6,12,"IPI+SRG","9"
"44",2,"NIV",3,934.780417106,26,171,6,6,12,"NIV","3"
"45",2,"NIV",4,1473.884510586,33,265,6,6,12,"NIV","4"
"46",2,"NIV+IPI",4,1488.833454583,37,265,6,6,12,"NIV+IPI","4"
"47",2,"NIV+IPI",5,441.753412333,8,77,6,6,12,"NIV+IPI","5"
"48",2,"PEM",10,2549.396455002,81,469,6,6,12,"PEM","10"
"49",2,"SEL+DTIC",13,187.831200553,13,38,6,6,12,"SEL+DTIC","13"
"50",2,"TRL",11,1189.209498807,63,234,6,6,12,"TRL","11"
"51",2,"VM",2,1355.2115340915,83,272,6,6,12,"VM","2"
"52",2,"VM",6,986.4441162865,48,194,6,6,12,"VM","6"
"53",2,"VM",8,1330.539197019,63,285,6,6,12,"VM","8"
"54",2,"VM+COB",6,1132.6553596295,38,210,6,6,12,"VM+COB","6"
"55",3,"DB",1,662.88362102,26,125,6,12,18,"DB","1"
"56",3,"DB",7,703.998779195,31,138,6,12,18,"DB","7"
"57",3,"DB+TR",7,758.540027,29,143,6,12,18,"DB+TR","7"
"58",3,"DB+TR",8,445.88145305,12,157,6,12,18,"DB+TR","8"
"59",3,"DTIC",1,166.96339157,10,34,6,12,18,"DTIC","1"
"60",3,"DTIC",2,709.99642245,36,139,6,12,18,"DTIC","2"
"61",3,"DTIC",3,471.660814805,20,92,6,12,18,"DTIC","3"
"62",3,"DTIC",11,688.900907745,48,140,6,12,18,"DTIC","11"
"63",3,"DTIC",12,455.790259395,25,90,6,12,18,"DTIC","12"
"64",3,"DTIC",13,105.85801548,6,21,6,12,18,"DTIC","13"
"65",3,"IPI",4,1092.79407191,39,203,6,12,18,"IPI","4"
"66",3,"IPI",5,160.70756002,3,29,6,12,18,"IPI","5"
"67",3,"IPI",9,147.37496745,5,49,6,12,18,"IPI","9"
"68",3,"IPI",10,771.31939713,29,145,6,12,18,"IPI","10"
"69",3,"IPI+DTIC",12,598.35026544,27,115,6,12,18,"IPI+DTIC","12"
"70",3,"IPI+SRG",9,172.90838625,8,63,6,12,18,"IPI+SRG","9"
"71",3,"NIV",3,805.74888539,15,143,6,12,18,"NIV","3"
"72",3,"NIV",4,1283.917186275,30,231,6,12,18,"NIV","4"
"73",3,"NIV+IPI",4,1322.94336764,17,227,6,12,18,"NIV+IPI","4"
"74",3,"NIV+IPI",5,402.60785661,4,69,6,12,18,"NIV+IPI","5"
"75",3,"PEM",10,2148.72763268,52,385,6,12,18,"PEM","10"
"76",3,"SEL+DTIC",13,114.28071128,10,25,6,12,18,"SEL+DTIC","13"
"77",3,"TRL",11,837.39462429,53,169,6,12,18,"TRL","11"
"78",3,"VM",2,902.652764965,48,180,6,12,18,"VM","2"
"79",3,"VM",6,742.14911119,31,142,6,12,18,"VM","6"
"80",3,"VM",8,312.263862425,14,122,6,12,18,"VM","8"
"81",3,"VM+COB",6,916.023324545,29,169,6,12,18,"VM+COB","6"
"82",4,"DB",1,507.0148927,18,96,6,18,24,"DB","1"
"83",4,"DB",7,546.82689429,18,104,6,18,24,"DB","7"
"84",4,"DB+TR",7,620.29031974,15,111,6,18,24,"DB+TR","7"
"85",4,"DB+TR",8,14.053537275,1,15,3.18546845,18,21.18546845,"DB+TR","8"
"86",4,"DTIC",1,114.77083407,6,22,6,18,24,"DTIC","1"
"87",4,"DTIC",2,503.9395504,29,100,6,18,24,"DTIC","2"
"88",4,"DTIC",3,371.905894915,19,71,6,18,24,"DTIC","3"
"89",4,"DTIC",11,475.57620915,18,90,6,18,24,"DTIC","11"
"90",4,"DTIC",12,310.060584905,19,64,6,18,24,"DTIC","12"
"91",4,"DTIC",13,50.67569135,5,15,6,18,24,"DTIC","13"
"92",4,"IPI",4,885.12327231,28,163,6,18,24,"IPI","4"
"93",4,"IPI",5,147.19906453,2,26,6,18,24,"IPI","5"
"94",4,"IPI",9,0.799889579999999,0,14,0.0571349699999999,18,18.05713497,"IPI","9"
"95",4,"IPI",10,653.522845,10,114,6,18,24,"IPI","10"
