 node, mean, sd, MC error,2.50%,median,97.50%,start,sample
beta[1],0.0528,0.2418,0.005488,-0.4248,0.05423,0.5246,30001,210000
beta[2],-0.1935,0.2202,0.004293,-0.6266,-0.1932,0.2364,30001,210000
beta[3],-0.1884,0.4871,0.01352,-1.096,-0.2026,0.7987,30001,210000
beta[4],0.5701,0.2826,0.007012,0.01724,0.5663,1.133,30001,210000
beta[5],-0.7455,0.2105,0.005047,-1.16,-0.744,-0.333,30001,210000
beta[6],-0.9191,0.4772,0.01256,-1.874,-0.9133,-0.007583,30001,210000
beta[7],-0.03894,0.2739,0.006195,-0.568,-0.04114,0.5008,30001,210000
beta[8],-0.6152,0.3236,0.006787,-1.246,-0.6149,0.0124,30001,210000
beta[9],0.2382,0.246,0.005434,-0.2484,0.2375,0.7246,30001,210000
beta[10],-0.8546,0.2252,0.005233,-1.303,-0.8525,-0.4166,30001,210000
beta[11],-0.5097,0.5252,0.01085,-1.56,-0.5013,0.4981,30001,210000
beta[12],-0.5151,0.9462,0.02548,-2.404,-0.4923,1.271,30001,210000
beta[13],-0.05942,0.0743,0.001679,-0.2062,-0.05983,0.08747,30001,210000
beta[14],-0.03914,0.06297,0.001221,-0.1637,-0.03897,0.08544,30001,210000
beta[15],-0.001512,0.1328,0.003656,-0.2678,0.002094,0.2495,30001,210000
beta[16],-0.1587,0.08737,0.002141,-0.3313,-0.1578,0.01202,30001,210000
beta[17],0.2137,0.06274,0.001465,0.08992,0.2132,0.3365,30001,210000
beta[18],0.1785,0.1539,0.004039,-0.1171,0.177,0.4868,30001,210000
beta[19],-0.1102,0.07114,0.001635,-0.2508,-0.1099,0.02758,30001,210000
beta[20],-0.04831,0.08955,0.001876,-0.2227,-0.04854,0.1259,30001,210000
beta[21],-0.2316,0.06444,0.001452,-0.3601,-0.2312,-0.1058,30001,210000
beta[22],0.1536,0.05784,0.00133,0.04065,0.1533,0.2685,30001,210000
beta[23],0.04252,0.1955,0.004037,-0.3312,0.04017,0.4353,30001,210000
beta[24],0.1155,0.3235,0.00872,-0.4937,0.1075,0.7626,30001,210000
"gamma[1,1]",-0.734,0.1702,0.003019,-1.077,-0.7314,-0.4104,30001,210000
